"6873","906 JUANITA ST, AUSTIN, TX, 78704","Match","Exact","906 JUANITA ST, AUSTIN, TX, 78704","-97.763954,30.241564","63944680","R","48","453","001307","2000"
"6874","500 FRANKLIN BLVD, AUSTIN, TX, 78751","Match","Exact","500 FRANKLIN BLVD, AUSTIN, TX, 78751","-97.72551,30.320444","63931685","R","48","453","000305","3004"
"6871","919 VALDEZ ST, AUSTIN, TX, 78741","Match","Exact","919 VALDEZ ST, AUSTIN, TX, 78741","-97.69313,30.23309","63949309","L","48","453","002312","2003"
"6872","1121 WALTON LN, AUSTIN, TX, 78721","Match","Exact","1121 WALTON LN, AUSTIN, TX, 78721","-97.68844,30.258163","63951663","R","48","453","002111","3010"
"6870","919 VALDEZ ST, AUSTIN, TX, 78741","Match","Exact","919 VALDEZ ST, AUSTIN, TX, 78741","-97.69313,30.23309","63949309","L","48","453","002312","2003"
"531","10613 SPEEDWAGON RUN, AUSTIN, TX, 78754","No_Match"
"530","10605 SPEEDWAGON RUN, AUSTIN, TX, 78754","No_Match"
"2951","6925 NUTRIA RUN, AUSTIN, TX, 78744","No_Match"
"6869","6814 E RIVERSIDE DR UNIT 91, AUSTIN, TX, 78741","Match","Non_Exact","6814 E RIVERSIDE DR, AUSTIN, TX, 78741","-97.69879,30.223068","63971845","L","48","453","002312","2016"
"2950","8008 HIDDEN VIEW CIR, AUSTIN, TX, 78724","Match","Exact","8008 HIDDEN VIEW CIR, AUSTIN, TX, 78724","-97.63947,30.287891","64018145","L","48","453","002208","4000"
"6868","6814 E RIVERSIDE DR UNIT 92, AUSTIN, TX, 78741","Match","Non_Exact","6814 E RIVERSIDE DR, AUSTIN, TX, 78741","-97.69879,30.223068","63971845","L","48","453","002312","2016"
"6867","6814 E RIVERSIDE DR UNIT 93, AUSTIN, TX, 78741","Match","Non_Exact","6814 E RIVERSIDE DR, AUSTIN, TX, 78741","-97.69879,30.223068","63971845","L","48","453","002312","2016"
"2953","3710 GREYSTONE DR, AUSTIN, TX, 78731","Match","Exact","3710 GREYSTONE DR, AUSTIN, TX, 78731","-97.754524,30.359125","63928889","R","48","453","001751","2026"
"1821","810 JESSIE ST, AUSTIN, TX, 78704","Match","Exact","810 JESSIE ST, AUSTIN, TX, 78704","-97.76216,30.258314","63944483","R","48","453","001303","2008"
"535","5913 LEHMAN WAY, AUSTIN, TX, 78747","No_Match"
"6866","6814 E RIVERSIDE DR UNIT 94, AUSTIN, TX, 78741","Match","Non_Exact","6814 E RIVERSIDE DR, AUSTIN, TX, 78741","-97.69879,30.223068","63971845","L","48","453","002312","2016"
"2952","7707 LAZY CREEK DR, AUSTIN, TX, 78724","No_Match"
"1822","1425 MORNING MOON CIR, AUSTIN, TX, 78732","No_Match"
"534","5917 LEHMAN WAY, AUSTIN, TX, 78747","No_Match"
"6865","6814 E RIVERSIDE DR UNIT 95, AUSTIN, TX, 78741","Match","Non_Exact","6814 E RIVERSIDE DR, AUSTIN, TX, 78741","-97.69879,30.223068","63971845","L","48","453","002312","2016"
"2955","15417 PRESTANCIA DR, AUSTIN, TX, 78717","Match","Exact","15417 PRESTANCIA DR, AUSTIN, TX, 78717","-97.76651,30.499964","126521691","R","48","491","020509","1031"
"533","2200 THESEUS PASS, AUSTIN, TX, 78741","No_Match"
"532","10620 SPEEDWAGON RUN, AUSTIN, TX, 78754","No_Match"
"1820","5716 HERO DR, AUSTIN, TX, 78735","Match","Exact","5716 HERO DR, AUSTIN, TX, 78735","-97.84497,30.251707","63996792","L","48","453","001914","1021"
"6864","3209 GILBERT ST, AUSTIN, TX, 78703","Match","Exact","3209 GILBERT ST, AUSTIN, TX, 78703","-97.77309,30.29841","63941273","L","48","453","001604","4001"
"2954","5800 EDEN DR, AUSTIN, TX, 78747","No_Match"
"539","7208 CARVER AVE, AUSTIN, TX, 78752","Match","Exact","7208 CARVER AVE, AUSTIN, TX, 78752","-97.69922,30.33081","63932619","L","48","453","001812","3018"
