"6873","1303 MAN O WAR DR, Austin, TX, 78617","Match","Non_Exact","1303 MAN O WAR DR, DEL VALLE, TX, 78617","-97.51913,30.225021","64123578","R","48","453","002433","1001"
"6874","1303 CITATION CIR, Austin, TX, 78617","Match","Non_Exact","1303 CITATION CIR, DEL VALLE, TX, 78617","-97.52147,30.22475","63974614","R","48","453","002433","1001"
"6871","3209 CROWNOVER ST, Austin, TX, 78725","Match","Exact","3209 CROWNOVER ST, AUSTIN, TX, 78725","-97.58857,30.229673","64121069","L","48","453","002207","2017"
"6872","1101 WATER ST, Austin, TX, 78653","No_Match"
"6870","3200 CROWNOVER ST, Austin, TX, 78725","Match","Exact","3200 CROWNOVER ST, AUSTIN, TX, 78725","-97.588615,30.229624","64121069","R","48","453","002207","2022"
"531","204 SEBASTIANS RUN, Austin, TX, 78738","No_Match"
"530","218 VARCO PASS, Austin, TX, 78738","Match","Non_Exact","218 VARCO DR, AUSTIN, TX, 78738","-97.95701,30.336287","627513450","R","48","453","001784","1004"
"6869","14513 OLIPHANT ST, Austin, TX, 78725","Match","Exact","14513 OLIPHANT ST, AUSTIN, TX, 78725","-97.5917,30.23072","63981643","R","48","453","002207","2021"
"2951"," CEDAR LIME RD, Austin, TX, 78641","No_Match"
"6868","9501 SHERMAN RD, Austin, TX, 78742","Match","Exact","9501 SHERMAN RD, AUSTIN, TX, 78742","-97.66546,30.227894","64123417","R","48","453","002310","2033"
"2953"," F M RD 1431, Austin, TX, 78641","No_Match"
"535","6 GLEN ROCK DR, Austin, TX, 78738","Match","Exact","6 GLEN ROCK DR, AUSTIN, TX, 78738","-97.98341,30.341307","63990767","L","48","453","001773","3034"
"6867","6707 SANTOS ST, Austin, TX, 78741","Match","Exact","6707 SANTOS ST, AUSTIN, TX, 78741","-97.69752,30.227001","63949291","R","48","453","002312","2008"
"534","109 OUTCROP VIEW LN, Austin, TX, 78738","Match","Exact","109 OUTCROP VIEW LN, AUSTIN, TX, 78738","-97.97333,30.341545","64120786","L","48","453","001773","3016"
"2952"," F M RD 1431, Austin, TX, 78641","No_Match"
"6866","1428 LAWRENCE ST, Austin, TX, 78741","Match","Exact","1428 LAWRENCE ST, AUSTIN, TX, 78741","-97.694435,30.228155","641248926","R","48","453","002312","2009"
"533"," VARCO DR, Austin, TX, 78738","No_Match"
"6865","6712 CANAL ST, Austin, TX, 78741","Match","Exact","6712 CANAL ST, AUSTIN, TX, 78741","-97.697365,30.227102","63949304","L","48","453","002312","2008"
"532","206 SEBASTIANS RUN, Austin, TX, 78738","No_Match"
"6864","6800 CANAL ST, Austin, TX, 78741","Match","Exact","6800 CANAL ST, AUSTIN, TX, 78741","-97.69657,30.22716","63949304","L","48","453","002312","2008"
"539"," RANCH RD 2222, Austin, TX, 78731","No_Match"
"2957","1028 VILLA HILL DR, Austin, TX, 78641","Match","Non_Exact","1028 VILLA HILL DR, LEANDER, TX, 78641","-97.8868,30.503632","617956212","R","48","453","001765","2002"
"538","116 DESERT FOREST CT, Austin, TX, 78738","Match","Exact","116 DESERT FOREST CT, AUSTIN, TX, 78738","-97.99553,30.33774","232052971","R","48","453","001773","2036"
"537","5 GRAPEWOOD CT, Austin, TX, 78738","Match","Exact","5 GRAPEWOOD CT, AUSTIN, TX, 78738","-97.99072,30.339334","63990721","L","48","453","001773","2021"
"2958"," VILLA HILL DR, Austin, TX, 78641","No_Match"
"536","18 SAN SAVIO DR, Austin, TX, 78738","Match","Exact","18 SAN SAVIO DR, AUSTIN, TX, 78738","-97.98235,30.337214","641787748","L","48","453","001773","3032"
"6883","1740 TIMBER RIDGE RD, Austin, TX, 78741","Match","Exact","1740 TIMBER RIDGE RD, AUSTIN, TX, 78741","-97.742805,30.225142","63945347","L","48","453","002307","2001"
"6884","3108 CATALINA DR, Austin, TX, 78741","Match","Exact","3108 CATALINA DR, AUSTIN, TX, 78741","-97.73705,30.221697","63948757","R","48","453","002307","1005"
"6885","3015 MATADOR DR, Austin, TX, 78741","Match","Exact","3015 MATADOR DR, AUSTIN, TX, 78741","-97.73559,30.222237","63948761","L","48","453","002307","3001"
"2940","9102 WESTERN TRL, Austin, TX, 78641","No_Match"
"3","1205 6 ST S, Austin, TX, 78704","No_Match"
"540","5507 CAPRICE DR, Austin, TX, 78731","Match","Exact","5507 CAPRICE DR, AUSTIN, TX, 78731","-97.762436,30.338923","63928955","R","48","453","000102","1011"
"2","1106 MONROE ST W, Austin, TX, 78704","Match","Exact","1106 MONROE ST W, AUSTIN, TX, 78704","-97.760994,30.251743","627269993","R","48","453","001305","4009"
"1","1101 JEWELL ST, Austin, TX, 78704","Match","Exact","1101 JEWELL ST, AUSTIN, TX, 78704","-97.7607,30.25254","63955845","L","48","453","001305","4009"
"542"," DRY CREEK DR, Austin, TX, 78731","No_Match"
"0","1005 MONROE ST W, Austin, TX, 78704","Match","Exact","1005 MONROE ST W, AUSTIN, TX, 78704","-97.760315,30.251413","627269993","L","48","453","001305","4008"
"541","5800 WESTMONT DR, Austin, TX, 78731","Match","Exact","5800 WESTMONT DR, AUSTIN, TX, 78731","-97.76671,30.342167","63928922","L","48","453","001718","4005"
"6876","1306 MAN O WAR DR, Austin, TX, 78617","Match","Non_Exact","1306 MAN O WAR DR, DEL VALLE, TX, 78617","-97.51914,30.224943","64123578","L","48","453","002433","1001"
"7","1702 LAMAR BLVD S, Austin, TX, 78704","No_Match"
"544","5902 RICKEY DR, Austin, TX, 78757","Match","Exact","5902 RICKEY DR, AUSTIN, TX, 78757","-97.74944,30.337656","63929168","L","48","453","001501","2016"
"6875","1308 CITATION CIR, Austin, TX, 78617","Match","Non_Exact","1308 CITATION CIR, DEL VALLE, TX, 78617","-97.52153,30.224285","64123130","L","48","453","002433","1001"
